diff,group,group link,variable,variable link,configs/MOM6-examples/ocean_only/global/MOM_input,configs/mom6-om4-025/MOM_input,configs/mom6-panan/MOM_input,configs/mom6-eac/MOM_input,configs/MOM6-CICE6_1deg_jra55do_ryf/MOM_input
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kappa_shear_all_layer_tke_bug,https://github.com/mom-ocean/MOM6/search?q=kappa_shear_all_layer_tke_bug,,True,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kappa_shear_iter_bug,https://github.com/mom-ocean/MOM6/search?q=kappa_shear_iter_bug,,True,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kd,https://github.com/mom-ocean/MOM6/search?q=kd,2e-05,1.5e-05,1.5e-05,1.5e-05,2e-05
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kd_max,https://github.com/mom-ocean/MOM6/search?q=kd_max,,0.1,0.1,0.1,0.1
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kd_min,https://github.com/mom-ocean/MOM6/search?q=kd_min,2e-06,2e-06,2e-06,2e-06,2e-06
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kdml,https://github.com/mom-ocean/MOM6/search?q=kdml,,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kh_res_scale_coef,https://github.com/mom-ocean/MOM6/search?q=kh_res_scale_coef,,,,,0.4
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kh_vel_scale,https://github.com/mom-ocean/MOM6/search?q=kh_vel_scale,0.01,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth,https://github.com/mom-ocean/MOM6/search?q=khth,10.0,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_max,https://github.com/mom-ocean/MOM6/search?q=khth_max,900.0,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_max_cfl,https://github.com/mom-ocean/MOM6/search?q=khth_max_cfl,,0.1,0.1,0.1,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_slope_cff,https://github.com/mom-ocean/MOM6/search?q=khth_slope_cff,0.25,,,,0.01
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_use_ebt_struct,https://github.com/mom-ocean/MOM6/search?q=khth_use_ebt_struct,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_use_fgnv_streamfunction,https://github.com/mom-ocean/MOM6/search?q=khth_use_fgnv_streamfunction,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khtr,https://github.com/mom-ocean/MOM6/search?q=khtr,10.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khtr_max,https://github.com/mom-ocean/MOM6/search?q=khtr_max,900.0,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khtr_min,https://github.com/mom-ocean/MOM6/search?q=khtr_min,50.0,,,,50.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khtr_passivity_coeff,https://github.com/mom-ocean/MOM6/search?q=khtr_passivity_coeff,3.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khtr_slope_cff,https://github.com/mom-ocean/MOM6/search?q=khtr_slope_cff,0.25,0.25,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kpp_is_additive,https://github.com/mom-ocean/MOM6/search?q=kpp_is_additive,,,,,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kv,https://github.com/mom-ocean/MOM6/search?q=kv,0.0001,0.0001,0.0001,0.0001,0.0001
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kv_bbl_min,https://github.com/mom-ocean/MOM6/search?q=kv_bbl_min,,0.0,0.0,0.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kv_tbl_min,https://github.com/mom-ocean/MOM6/search?q=kv_tbl_min,,0.0,0.0,0.0,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",laplacian,https://github.com/mom-ocean/MOM6/search?q=laplacian,True,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",latent_heat_fusion,https://github.com/mom-ocean/MOM6/search?q=latent_heat_fusion,,,,,333700.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",latent_heat_vaporization,https://github.com/mom-ocean/MOM6/search?q=latent_heat_vaporization,,,,,2501000.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",latentheat_file,https://github.com/mom-ocean/MOM6/search?q=latentheat_file,ocean_forcing_daily.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",layout,https://github.com/mom-ocean/MOM6/search?q=layout,,,"[72, 17]","[8, 12]",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",leith_ah,https://github.com/mom-ocean/MOM6/search?q=leith_ah,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",leith_bi_const,https://github.com/mom-ocean/MOM6/search?q=leith_bi_const,,,,,128.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",limit_buffer_detrain,https://github.com/mom-ocean/MOM6/search?q=limit_buffer_detrain,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",longwave_file,https://github.com/mom-ocean/MOM6/search?q=longwave_file,ocean_forcing_daily.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",lt_enhance_coef,https://github.com/mom-ocean/MOM6/search?q=lt_enhance_coef,,0.044,0.044,0.044,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",lt_enhance_exp,https://github.com/mom-ocean/MOM6/search?q=lt_enhance_exp,,-1.5,-1.5,-1.5,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",lt_mod_lac1,https://github.com/mom-ocean/MOM6/search?q=lt_mod_lac1,,0.0,0.0,0.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",lt_mod_lac4,https://github.com/mom-ocean/MOM6/search?q=lt_mod_lac4,,0.0,0.0,0.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",lt_mod_lac5,https://github.com/mom-ocean/MOM6/search?q=lt_mod_lac5,,0.22,0.22,0.22,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mask_srestore_under_ice,https://github.com/mom-ocean/MOM6/search?q=mask_srestore_under_ice,,,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",masking_depth,https://github.com/mom-ocean/MOM6/search?q=masking_depth,,0.0,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",masktable,https://github.com/mom-ocean/MOM6/search?q=masktable,,,masks/mask_table.262.72x17,masks/mask_table.5.8x12,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mass_weight_in_pressure_gradient,https://github.com/mom-ocean/MOM6/search?q=mass_weight_in_pressure_gradient,,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",match_technique,https://github.com/mom-ocean/MOM6/search?q=match_technique,,,,,MatchGradient
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",max_delta_srestore,https://github.com/mom-ocean/MOM6/search?q=max_delta_srestore,,,,,0.5
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",max_ent_it,https://github.com/mom-ocean/MOM6/search?q=max_ent_it,20,,,,20
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",max_layer_thickness_config,https://github.com/mom-ocean/MOM6/search?q=max_layer_thickness_config,,"FNC1:400,31000.0,0.1,.01",,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",max_p_surf,https://github.com/mom-ocean/MOM6/search?q=max_p_surf,,0.0,0.0,0.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",max_rino_it,https://github.com/mom-ocean/MOM6/search?q=max_rino_it,25,25,,,25
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",max_tr_diffusion_cfl,https://github.com/mom-ocean/MOM6/search?q=max_tr_diffusion_cfl,,,,,2.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",maxcpu,https://github.com/mom-ocean/MOM6/search?q=maxcpu,28800.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",maximum_depth,https://github.com/mom-ocean/MOM6/search?q=maximum_depth,6000.0,6500.0,6000.0,6000.0,6000.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",maximum_int_depth_config,https://github.com/mom-ocean/MOM6/search?q=maximum_int_depth_config,,"FNC1:5,8000.0,1.0,.01",,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",maxtrunc,https://github.com/mom-ocean/MOM6/search?q=maxtrunc,5000,100000,100000,100000,0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",maxvel,https://github.com/mom-ocean/MOM6/search?q=maxvel,6.0,6.0,6.0,6.0,6.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_advection_factor,https://github.com/mom-ocean/MOM6/search?q=meke_advection_factor,,,,,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_alpha_deform,https://github.com/mom-ocean/MOM6/search?q=meke_alpha_deform,,,,,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_alpha_eady,https://github.com/mom-ocean/MOM6/search?q=meke_alpha_eady,,0.15,,,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_alpha_frict,https://github.com/mom-ocean/MOM6/search?q=meke_alpha_frict,,,,,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_alpha_grid,https://github.com/mom-ocean/MOM6/search?q=meke_alpha_grid,,,,,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_alpha_rhines,https://github.com/mom-ocean/MOM6/search?q=meke_alpha_rhines,,0.15,,,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_bgsrc,https://github.com/mom-ocean/MOM6/search?q=meke_bgsrc,,1e-13,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_equilibrium_alt,https://github.com/mom-ocean/MOM6/search?q=meke_equilibrium_alt,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_equilibrium_restoring,https://github.com/mom-ocean/MOM6/search?q=meke_equilibrium_restoring,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_geometric,https://github.com/mom-ocean/MOM6/search?q=meke_geometric,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_gmcoeff,https://github.com/mom-ocean/MOM6/search?q=meke_gmcoeff,1.0,1.0,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_khmeke_fac,https://github.com/mom-ocean/MOM6/search?q=meke_khmeke_fac,,1.0,,,0.5
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_khth_fac,https://github.com/mom-ocean/MOM6/search?q=meke_khth_fac,,,,,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_khtr_fac,https://github.com/mom-ocean/MOM6/search?q=meke_khtr_fac,,,,,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_min_lscale,https://github.com/mom-ocean/MOM6/search?q=meke_min_lscale,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_restoring_timescale,https://github.com/mom-ocean/MOM6/search?q=meke_restoring_timescale,,,,,10000000.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_visc_drag,https://github.com/mom-ocean/MOM6/search?q=meke_visc_drag,,,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",meke_viscosity_coeff_ku,https://github.com/mom-ocean/MOM6/search?q=meke_viscosity_coeff_ku,,,,,0.2
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",min_salinity,https://github.com/mom-ocean/MOM6/search?q=min_salinity,,0.01,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",minimum_depth,https://github.com/mom-ocean/MOM6/search?q=minimum_depth,0.5,9.5,9.5,9.5,0.5
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mix_len_exponent,https://github.com/mom-ocean/MOM6/search?q=mix_len_exponent,,1.0,1.0,1.0,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mixedlayer_restrat,https://github.com/mom-ocean/MOM6/search?q=mixedlayer_restrat,True,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ml_khtr_scale,https://github.com/mom-ocean/MOM6/search?q=ml_khtr_scale,0.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ml_omega_frac,https://github.com/mom-ocean/MOM6/search?q=ml_omega_frac,1.0,0.001,0.001,0.001,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ml_presort_nk_conv_adj,https://github.com/mom-ocean/MOM6/search?q=ml_presort_nk_conv_adj,4,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ml_rad_coeff,https://github.com/mom-ocean/MOM6/search?q=ml_rad_coeff,0.1,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ml_radiation,https://github.com/mom-ocean/MOM6/search?q=ml_radiation,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ml_resort,https://github.com/mom-ocean/MOM6/search?q=ml_resort,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mle_front_length,https://github.com/mom-ocean/MOM6/search?q=mle_front_length,,500.0,500.0,500.0,1000.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mle_mld_decay_time,https://github.com/mom-ocean/MOM6/search?q=mle_mld_decay_time,,2592000.0,2592000.0,2592000.0,345600.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mle_use_pbl_mld,https://github.com/mom-ocean/MOM6/search?q=mle_use_pbl_mld,,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mstar,https://github.com/mom-ocean/MOM6/search?q=mstar,0.3,,0.0,0.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mstar2_coef1,https://github.com/mom-ocean/MOM6/search?q=mstar2_coef1,,0.29,0.29,0.29,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mstar2_coef2,https://github.com/mom-ocean/MOM6/search?q=mstar2_coef2,,0.152,0.152,0.152,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mstar_cap,https://github.com/mom-ocean/MOM6/search?q=mstar_cap,,10.0,10.0,10.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",mstar_conv_adj,https://github.com/mom-ocean/MOM6/search?q=mstar_conv_adj,,0.667,0.667,0.667,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",n_smooth,https://github.com/mom-ocean/MOM6/search?q=n_smooth,,,,,3
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",n_smooth_ri,https://github.com/mom-ocean/MOM6/search?q=n_smooth_ri,,,,,1
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ndiff_interior_only,https://github.com/mom-ocean/MOM6/search?q=ndiff_interior_only,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",niglobal,https://github.com/mom-ocean/MOM6/search?q=niglobal,360,1440,3600,320,360
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",nihalo,https://github.com/mom-ocean/MOM6/search?q=nihalo,,4,,,4
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",njglobal,https://github.com/mom-ocean/MOM6/search?q=njglobal,210,1080,845,490,300
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",njhalo,https://github.com/mom-ocean/MOM6/search?q=njhalo,,4,,,4
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",nk,https://github.com/mom-ocean/MOM6/search?q=nk,63,75,75,75,50
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",nstar,https://github.com/mom-ocean/MOM6/search?q=nstar,,0.06,0.06,0.06,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",num_diag_coords,https://github.com/mom-ocean/MOM6/search?q=num_diag_coords,,2,2,2,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_computed_vorticity,https://github.com/mom-ocean/MOM6/search?q=obc_computed_vorticity,,,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_freeslip_strain,https://github.com/mom-ocean/MOM6/search?q=obc_freeslip_strain,,,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_freeslip_vorticity,https://github.com/mom-ocean/MOM6/search?q=obc_freeslip_vorticity,,,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_number_of_segments,https://github.com/mom-ocean/MOM6/search?q=obc_number_of_segments,,,1,4,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_001,https://github.com/mom-ocean/MOM6/search?q=obc_segment_001,,,"J=N,I=N:0,FLATHER,ORLANSKI,NUDGED","J=0,I=0:N,FLATHER,ORLANSKI,NUDGED",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_001_data,https://github.com/mom-ocean/MOM6/search?q=obc_segment_001_data,,,"U=file:forcing/forcing_obc.nc(u),V=file:forcing/forcing_obc.nc(v),SSH=file:forcing/forcing_obc.nc(eta_t),TEMP=file:forcing/forcing_obc.nc(temp),SALT=file:forcing/forcing_obc.nc(salt)","U=file:forcing/forcing_obc_segment_001.nc(u),V=file:forcing/forcing_obc_segment_001.nc(v),SSH=file:forcing/forcing_obc_segment_001.nc(eta_t),TEMP=file:forcing/forcing_obc_segment_001.nc(temp),SALT=file:forcing/forcing_obc_segment_001.nc(salt)",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_001_velocity_nudging_timescales,https://github.com/mom-ocean/MOM6/search?q=obc_segment_001_velocity_nudging_timescales,,,"[0.3, 360.0]","[0.3, 360.0]",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_002,https://github.com/mom-ocean/MOM6/search?q=obc_segment_002,,,,"J=N,I=N:0,FLATHER,ORLANSKI,NUDGED",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_002_data,https://github.com/mom-ocean/MOM6/search?q=obc_segment_002_data,,,,"U=file:forcing/forcing_obc_segment_002.nc(u),V=file:forcing/forcing_obc_segment_002.nc(v),SSH=file:forcing/forcing_obc_segment_002.nc(eta_t),TEMP=file:forcing/forcing_obc_segment_002.nc(temp),SALT=file:forcing/forcing_obc_segment_002.nc(salt)",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_002_velocity_nudging_timescales,https://github.com/mom-ocean/MOM6/search?q=obc_segment_002_velocity_nudging_timescales,,,,"[0.3, 360.0]",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_003,https://github.com/mom-ocean/MOM6/search?q=obc_segment_003,,,,"I=0,J=N:0,FLATHER,ORLANSKI,NUDGED",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_003_data,https://github.com/mom-ocean/MOM6/search?q=obc_segment_003_data,,,,"U=file:forcing/forcing_obc_segment_003.nc(u),V=file:forcing/forcing_obc_segment_003.nc(v),SSH=file:forcing/forcing_obc_segment_003.nc(eta_t),TEMP=file:forcing/forcing_obc_segment_003.nc(temp),SALT=file:forcing/forcing_obc_segment_003.nc(salt)",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_003_velocity_nudging_timescales,https://github.com/mom-ocean/MOM6/search?q=obc_segment_003_velocity_nudging_timescales,,,,"[0.3, 360.0]",
