diff,group,group link,variable,variable link,configs/MOM6-examples/ocean_only/global/MOM_input,configs/mom6-om4-025/MOM_input,configs/mom6-panan/MOM_input,configs/mom6-eac/MOM_input,configs/MOM6-CICE6_1deg_jra55do_ryf/MOM_input
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_004,https://github.com/mom-ocean/MOM6/search?q=obc_segment_004,,,,"I=N,J=0:N,FLATHER,ORLANSKI,NUDGED",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_004_data,https://github.com/mom-ocean/MOM6/search?q=obc_segment_004_data,,,,"U=file:forcing/forcing_obc_segment_004.nc(u),V=file:forcing/forcing_obc_segment_004.nc(v),SSH=file:forcing/forcing_obc_segment_004.nc(eta_t),TEMP=file:forcing/forcing_obc_segment_004.nc(temp),SALT=file:forcing/forcing_obc_segment_004.nc(salt)",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_segment_004_velocity_nudging_timescales,https://github.com/mom-ocean/MOM6/search?q=obc_segment_004_velocity_nudging_timescales,,,,"[0.3, 360.0]",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_tracer_reservoir_length_scale_in,https://github.com/mom-ocean/MOM6/search?q=obc_tracer_reservoir_length_scale_in,,,3000,3000,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_tracer_reservoir_length_scale_out,https://github.com/mom-ocean/MOM6/search?q=obc_tracer_reservoir_length_scale_out,,,30000,30000,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",obc_zero_biharmonic,https://github.com/mom-ocean/MOM6/search?q=obc_zero_biharmonic,,,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ocean_surface_stagger,https://github.com/mom-ocean/MOM6/search?q=ocean_surface_stagger,,,,,A
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",parallel_restartfiles,https://github.com/mom-ocean/MOM6/search?q=parallel_restartfiles,,True,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",pen_sw_frac,https://github.com/mom-ocean/MOM6/search?q=pen_sw_frac,,,,,0.42
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",pen_sw_nbands,https://github.com/mom-ocean/MOM6/search?q=pen_sw_nbands,3,3,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",pen_sw_scale,https://github.com/mom-ocean/MOM6/search?q=pen_sw_scale,,,,,15.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",prandtl_bkgnd,https://github.com/mom-ocean/MOM6/search?q=prandtl_bkgnd,,,,,5.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",prandtl_turb,https://github.com/mom-ocean/MOM6/search?q=prandtl_turb,,1.25,1.25,1.25,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",pressure_dependent_frazil,https://github.com/mom-ocean/MOM6/search?q=pressure_dependent_frazil,,True,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",rain_file,https://github.com/mom-ocean/MOM6/search?q=rain_file,ocean_precip_monthly.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",read_gust_2d,https://github.com/mom-ocean/MOM6/search?q=read_gust_2d,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",read_tideamp,https://github.com/mom-ocean/MOM6/search?q=read_tideamp,True,True,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",reentrant_x,https://github.com/mom-ocean/MOM6/search?q=reentrant_x,,,,False,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",regrid_compressibility_fraction,https://github.com/mom-ocean/MOM6/search?q=regrid_compressibility_fraction,,0.01,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",regridding_coordinate_mode,https://github.com/mom-ocean/MOM6/search?q=regridding_coordinate_mode,,HYCOM1,ZSTAR,ZSTAR,ZSTAR
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",remap_uv_using_old_alg,https://github.com/mom-ocean/MOM6/search?q=remap_uv_using_old_alg,,True,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",remapping_scheme,https://github.com/mom-ocean/MOM6/search?q=remapping_scheme,,PPM_H4,PPM_H4,PPM_H4,PPM_H4
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",report_unused_params,https://github.com/mom-ocean/MOM6/search?q=report_unused_params,,,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",resoln_scaled_kh,https://github.com/mom-ocean/MOM6/search?q=resoln_scaled_kh,True,True,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",resoln_scaled_khth,https://github.com/mom-ocean/MOM6/search?q=resoln_scaled_khth,True,True,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",restart_checksums_required,https://github.com/mom-ocean/MOM6/search?q=restart_checksums_required,,False,False,False,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",restart_control,https://github.com/mom-ocean/MOM6/search?q=restart_control,3,,,,3
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",restint,https://github.com/mom-ocean/MOM6/search?q=restint,365.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",restore_salinity,https://github.com/mom-ocean/MOM6/search?q=restore_salinity,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",restorebuoy,https://github.com/mom-ocean/MOM6/search?q=restorebuoy,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",rivermix_depth,https://github.com/mom-ocean/MOM6/search?q=rivermix_depth,40.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",runoff_file,https://github.com/mom-ocean/MOM6/search?q=runoff_file,ocean_precip_monthly.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",salinityrestore_file,https://github.com/mom-ocean/MOM6/search?q=salinityrestore_file,ocean_forcing_daily.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",salt_restore_file,https://github.com/mom-ocean/MOM6/search?q=salt_restore_file,,,,,salt_sfc_restore.nc
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",salt_z_init_file,https://github.com/mom-ocean/MOM6/search?q=salt_z_init_file,,woa13_decav_s_monthly_fulldepth_01.nc,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",save_initial_conds,https://github.com/mom-ocean/MOM6/search?q=save_initial_conds,True,,,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",sea_ice_rigid_mass,https://github.com/mom-ocean/MOM6/search?q=sea_ice_rigid_mass,,100.0,100.0,100.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",sensibleheat_file,https://github.com/mom-ocean/MOM6/search?q=sensibleheat_file,ocean_forcing_daily.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",shortwave_file,https://github.com/mom-ocean/MOM6/search?q=shortwave_file,ocean_forcing_daily.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",simple_tke_to_kd,https://github.com/mom-ocean/MOM6/search?q=simple_tke_to_kd,,True,True,True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",smag_bi_const,https://github.com/mom-ocean/MOM6/search?q=smag_bi_const,0.06,0.06,0.06,0.06,0.06
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",smagorinsky_ah,https://github.com/mom-ocean/MOM6/search?q=smagorinsky_ah,True,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",snow_file,https://github.com/mom-ocean/MOM6/search?q=snow_file,ocean_precip_monthly.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",sponge,https://github.com/mom-ocean/MOM6/search?q=sponge,,,False,False,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",srestore_as_sflux,https://github.com/mom-ocean/MOM6/search?q=srestore_as_sflux,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",sstrestore_file,https://github.com/mom-ocean/MOM6/search?q=sstrestore_file,ocean_forcing_daily.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",surface_height_ic_file,https://github.com/mom-ocean/MOM6/search?q=surface_height_ic_file,,,,forcing/init_eta.nc,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",surface_height_ic_var,https://github.com/mom-ocean/MOM6/search?q=surface_height_ic_var,,,,eta_t,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",temp_salt_init_vertical_remap_only,https://github.com/mom-ocean/MOM6/search?q=temp_salt_init_vertical_remap_only,,,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",temp_salt_z_init_file,https://github.com/mom-ocean/MOM6/search?q=temp_salt_z_init_file,,,forcing/temp_salt_init_z.nc,forcing/init_cond.nc,ocean_temp_salt.res.nc
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",temp_z_init_file,https://github.com/mom-ocean/MOM6/search?q=temp_z_init_file,,woa13_decav_ptemp_monthly_fulldepth_01.nc,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",thermo_spans_coupling,https://github.com/mom-ocean/MOM6/search?q=thermo_spans_coupling,,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",thickness_config,https://github.com/mom-ocean/MOM6/search?q=thickness_config,file,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",thickness_file,https://github.com/mom-ocean/MOM6/search?q=thickness_file,GOLD_IC.2010.11.15.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",thicknessdiffuse,https://github.com/mom-ocean/MOM6/search?q=thicknessdiffuse,True,True,False,False,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",thicknessdiffuse_first,https://github.com/mom-ocean/MOM6/search?q=thicknessdiffuse_first,True,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",tide_m2,https://github.com/mom-ocean/MOM6/search?q=tide_m2,True,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",tide_sal_scalar_value,https://github.com/mom-ocean/MOM6/search?q=tide_sal_scalar_value,0.094,,,,0.094
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",tideamp_file,https://github.com/mom-ocean/MOM6/search?q=tideamp_file,,tidal_amplitude.v20140616.nc,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",tides,https://github.com/mom-ocean/MOM6/search?q=tides,True,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",timeunit,https://github.com/mom-ocean/MOM6/search?q=timeunit,,,86400,86400,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",tke_decay,https://github.com/mom-ocean/MOM6/search?q=tke_decay,10.0,0.01,0.01,0.01,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",tke_itide_max,https://github.com/mom-ocean/MOM6/search?q=tke_itide_max,0.1,0.1,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",tolerance_ent,https://github.com/mom-ocean/MOM6/search?q=tolerance_ent,1e-05,,,,1e-05
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",topo_config,https://github.com/mom-ocean/MOM6/search?q=topo_config,file,file,file,file,file
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",topo_edits_file,https://github.com/mom-ocean/MOM6/search?q=topo_edits_file,,All_edits.nc,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",topo_file,https://github.com/mom-ocean/MOM6/search?q=topo_file,,ocean_topog.nc,ocean_topog.nc,topog_eac.nc,topog.nc
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",tracer_advection_scheme,https://github.com/mom-ocean/MOM6/search?q=tracer_advection_scheme,,PPM:H3,PPM:H3,PPM:H3,PPM:H3
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",tripolar_n,https://github.com/mom-ocean/MOM6/search?q=tripolar_n,True,True,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ts_config,https://github.com/mom-ocean/MOM6/search?q=ts_config,file,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ts_file,https://github.com/mom-ocean/MOM6/search?q=ts_file,GOLD_IC.2010.11.15.nc,,,,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",u_trunc_file,https://github.com/mom-ocean/MOM6/search?q=u_trunc_file,U_velocity_truncations,U_velocity_truncations,U_velocity_truncations,U_velocity_truncations,U_velocity_truncations
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_cfc_cap,https://github.com/mom-ocean/MOM6/search?q=use_cfc_cap,,,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_contemp_abssal,https://github.com/mom-ocean/MOM6/search?q=use_contemp_abssal,,,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_cvmix_convection,https://github.com/mom-ocean/MOM6/search?q=use_cvmix_convection,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_cvmix_ddiff,https://github.com/mom-ocean/MOM6/search?q=use_cvmix_ddiff,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_gm_work_bug,https://github.com/mom-ocean/MOM6/search?q=use_gm_work_bug,,,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_horizontal_boundary_diffusion,https://github.com/mom-ocean/MOM6/search?q=use_horizontal_boundary_diffusion,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_ideal_age_tracer,https://github.com/mom-ocean/MOM6/search?q=use_ideal_age_tracer,True,True,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_jackson_param,https://github.com/mom-ocean/MOM6/search?q=use_jackson_param,True,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_kh_in_meke,https://github.com/mom-ocean/MOM6/search?q=use_kh_in_meke,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_kpp,https://github.com/mom-ocean/MOM6/search?q=use_kpp,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_la_li2016,https://github.com/mom-ocean/MOM6/search?q=use_la_li2016,,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_land_mask_for_hvisc,https://github.com/mom-ocean/MOM6/search?q=use_land_mask_for_hvisc,,False,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_legacy_diabatic_driver,https://github.com/mom-ocean/MOM6/search?q=use_legacy_diabatic_driver,,,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_lmd94,https://github.com/mom-ocean/MOM6/search?q=use_lmd94,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_lotw_bbl_diffusivity,https://github.com/mom-ocean/MOM6/search?q=use_lotw_bbl_diffusivity,,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_meke,https://github.com/mom-ocean/MOM6/search?q=use_meke,True,True,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_mld_iteration,https://github.com/mom-ocean/MOM6/search?q=use_mld_iteration,,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_neutral_diffusion,https://github.com/mom-ocean/MOM6/search?q=use_neutral_diffusion,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_psurf_in_eos,https://github.com/mom-ocean/MOM6/search?q=use_psurf_in_eos,,False,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_regridding,https://github.com/mom-ocean/MOM6/search?q=use_regridding,,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_rigid_sea_ice,https://github.com/mom-ocean/MOM6/search?q=use_rigid_sea_ice,,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_stored_slopes,https://github.com/mom-ocean/MOM6/search?q=use_stored_slopes,,True,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",use_variable_mixing,https://github.com/mom-ocean/MOM6/search?q=use_variable_mixing,True,True,,,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",v_trunc_file,https://github.com/mom-ocean/MOM6/search?q=v_trunc_file,V_velocity_truncations,V_velocity_truncations,V_velocity_truncations,V_velocity_truncations,V_velocity_truncations
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",var_pen_sw,https://github.com/mom-ocean/MOM6/search?q=var_pen_sw,True,True,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",varmix_ktop,https://github.com/mom-ocean/MOM6/search?q=varmix_ktop,6,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",velocity_config,https://github.com/mom-ocean/MOM6/search?q=velocity_config,,,,file,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",velocity_file,https://github.com/mom-ocean/MOM6/search?q=velocity_file,,,,forcing/init_vel_cgrid.nc,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",velocity_tolerance,https://github.com/mom-ocean/MOM6/search?q=velocity_tolerance,0.0001,,,,0.0001
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",visbeck_l_scale,https://github.com/mom-ocean/MOM6/search?q=visbeck_l_scale,30000.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",visc_res_scale_coef,https://github.com/mom-ocean/MOM6/search?q=visc_res_scale_coef,,,,,0.4
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",wind_config,https://github.com/mom-ocean/MOM6/search?q=wind_config,file,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",wind_file,https://github.com/mom-ocean/MOM6/search?q=wind_file,ocean_forcing_daily.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",windstress_x_var,https://github.com/mom-ocean/MOM6/search?q=windstress_x_var,taux,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",windstress_y_var,https://github.com/mom-ocean/MOM6/search?q=windstress_y_var,tauy,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",write_geom,https://github.com/mom-ocean/MOM6/search?q=write_geom,,0,0,1,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",z_init_ale_remapping,https://github.com/mom-ocean/MOM6/search?q=z_init_ale_remapping,,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",z_init_file_ptemp_var,https://github.com/mom-ocean/MOM6/search?q=z_init_file_ptemp_var,,ptemp_an,temp,temp,temp
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",z_init_file_salt_var,https://github.com/mom-ocean/MOM6/search?q=z_init_file_salt_var,,s_an,,,salt
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",z_init_remap_old_alg,https://github.com/mom-ocean/MOM6/search?q=z_init_remap_old_alg,,True,,,False
