diff,group,variable,ACCESS-OM2_1deg_jra55_ryf/ice/cice_in.nml,ACCESS-OM2_025deg_jra55_ryf/ice/cice_in.nml,ACCESS-OM2_01deg_jra55_ryf/ice/cice_in.nml
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=distribution_type"", ""distribution_type"")",cartesian,roundrobin,sectrobin
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=nprocs"", ""nprocs"")",24,361,722
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=domain_nml"", ""&domain_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=processor_shape"", ""processor_shape"")",slenderX1,square-ice,square-ice
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=tfrz_option"", ""tfrz_option"")",linear_salt,linear_salt,mushy
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_mechred_nml"", ""&icefields_mechred_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_vlvl"", ""f_vlvl"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_mechred_nml"", ""&icefields_mechred_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_vrdg"", ""f_vrdg"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_albice"", ""f_albice"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_albsni"", ""f_albsni"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_albsno"", ""f_albsno"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_evap_ai"", ""f_evap_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fcondtop_ai"", ""f_fcondtop_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fcondtopn_ai"", ""f_fcondtopn_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fhocn_ai"", ""f_fhocn_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_flat_ai"", ""f_flat_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_flwdn"", ""f_flwdn"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_flwup_ai"", ""f_flwup_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fmelttn_ai"", ""f_fmelttn_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fresh_ai"", ""f_fresh_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fsens_ai"", ""f_fsens_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fsurfn_ai"", ""f_fsurfn_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fswabs_ai"", ""f_fswabs_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fswdn"", ""f_fswdn"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fswfac"", ""f_fswfac"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fswthru_ai"", ""f_fswthru_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_fswup"", ""f_fswup"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_icepresent"", ""f_icepresent"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_meltb"", ""f_meltb"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_meltl"", ""f_meltl"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_melts"", ""f_melts"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_meltt"", ""f_meltt"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_rain_ai"", ""f_rain_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_sice"", ""f_sice"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_snow_ai"", ""f_snow_ai"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_strcorx"", ""f_strcorx"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_strcory"", ""f_strcory"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_strintx"", ""f_strintx"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_strinty"", ""f_strinty"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_strocnx"", ""f_strocnx"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_strocny"", ""f_strocny"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_strtltx"", ""f_strtltx"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_strtlty"", ""f_strtlty"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_tair"", ""f_tair"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=f_trsig"", ""f_trsig"")",m,m,x
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=dt"", ""dt"")",3600,1800,300
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=dumpfreq"", ""dumpfreq"")",y,y,m
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=dumpfreq_n"", ""dumpfreq_n"")",1,1,3
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=history_chunksize_x"", ""history_chunksize_x"")",180,720,360
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=history_chunksize_y"", ""history_chunksize_y"")",150,540,270
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=ndtd"", ""ndtd"")",1,1,2
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=npt"", ""npt"")",35040,2232,6480
*,"=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=thermo_nml"", ""&thermo_nml"")","=HYPERLINK(""https://github.com/COSIMA/cice5/search?q=ktherm"", ""ktherm"")",1,1,2
