diff,group,variable,MOM6-CICE6_1deg_jra55do_ryf/ice_in,MOM6-CICE6_1deg_jra55do_iaf/ice_in,MOM6-CICE6_025deg_jra55do_ryf/ice_in
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_fsurfn_ai"", ""f_fsurfn_ai"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_fswabs"", ""f_fswabs"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_fswthru"", ""f_fswthru"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_hi"", ""f_hi"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_hisnap"", ""f_hisnap"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_hs"", ""f_hs"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_hte"", ""f_hte"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_htn"", ""f_htn"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_icedir"", ""f_icedir"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_icespd"", ""f_icespd"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_mlt_onset"", ""f_mlt_onset"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_narea"", ""f_narea"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_nlat"", ""f_nlat"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_nlon"", ""f_nlon"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_nmask"", ""f_nmask"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_ocndir"", ""f_ocndir"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_ocnspd"", ""f_ocnspd"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_qref"", ""f_qref"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_rain"", ""f_rain"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_sifb"", ""f_sifb"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_sig1"", ""f_sig1"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_sig2"", ""f_sig2"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_sigp"", ""f_sigp"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_snoice"", ""f_snoice"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_snow"", ""f_snow"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_sss"", ""f_sss"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_sst"", ""f_sst"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_tarea"", ""f_tarea"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_taubx"", ""f_taubx"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_tauby"", ""f_tauby"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_tlat"", ""f_tlat"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_tlon"", ""f_tlon"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_tmask"", ""f_tmask"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_tref"", ""f_tref"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_uarea"", ""f_uarea"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_ulat"", ""f_ulat"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_ulon"", ""f_ulon"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_umask"", ""f_umask"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_uocn"", ""f_uocn"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_uvel"", ""f_uvel"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_vicen"", ""f_vicen"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_vocn"", ""f_vocn"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_vvel"", ""f_vvel"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_snow_nml"", ""&icefields_snow_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_fsloss"", ""f_fsloss"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_snow_nml"", ""&icefields_snow_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_meltsliq"", ""f_meltsliq"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_snow_nml"", ""&icefields_snow_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_rhos_cmp"", ""f_rhos_cmp"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_snow_nml"", ""&icefields_snow_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_rhos_cnt"", ""f_rhos_cnt"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_snow_nml"", ""&icefields_snow_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_rsnw"", ""f_rsnw"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_snow_nml"", ""&icefields_snow_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_smassice"", ""f_smassice"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_snow_nml"", ""&icefields_snow_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_smassliq"", ""f_smassliq"")",m,m,m
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ponds_nml"", ""&ponds_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dpscale"", ""dpscale"")",0.001,0.001,0.001
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ponds_nml"", ""&ponds_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=frzpnd"", ""frzpnd"")",hlid,hlid,hlid
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ponds_nml"", ""&ponds_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=rfracmax"", ""rfracmax"")",1.0,1.0,1.0
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=bfbflag"", ""bfbflag"")",off,off,off
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=conserv_check"", ""conserv_check"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=diagfreq"", ""diagfreq"")",960,960,960
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dump_last"", ""dump_last"")",True,True,True
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dumpfreq"", ""dumpfreq"")",y,y,y
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=hist_suffix"", ""hist_suffix"")","['', 'm', 'x', 'x', 'x']","['', 'm', 'x', 'x', 'x']","['', 'm', 'x', 'x', 'x']"
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=hist_time_axis"", ""hist_time_axis"")",middle,middle,middle
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=histfreq"", ""histfreq"")","['d', 'm', 'x', 'x', 'x']","['d', 'm', 'x', 'x', 'x']","['d', 'm', 'x', 'x', 'x']"
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=history_chunksize"", ""history_chunksize"")","[180, 150]","[180, 150]","[720, 540]"
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=history_deflate"", ""history_deflate"")",1,1,1
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=history_precision"", ""history_precision"")",8,8,8
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ice_ic"", ""ice_ic"")",./INPUT/iced.1900-01-01-10800.nc,./INPUT/iced.1900-01-01-10800.nc,default
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=lcdf64"", ""lcdf64"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=npt"", ""npt"")",35040,35040,35040
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=pointer_file"", ""pointer_file"")",./rpointer.ice,./rpointer.ice,./rpointer.ice
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=print_global"", ""print_global"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=setup_nml"", ""&setup_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=restart_deflate"", ""restart_deflate"")",1,1,1
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=shortwave_nml"", ""&shortwave_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ahmax"", ""ahmax"")",0.1,0.1,0.1
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=shortwave_nml"", ""&shortwave_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=albicei"", ""albicei"")",0.44,0.44,0.44
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=shortwave_nml"", ""&shortwave_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=albicev"", ""albicev"")",0.86,0.86,0.86
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=shortwave_nml"", ""&shortwave_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=albsnowi"", ""albsnowi"")",0.7,0.7,0.7
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=shortwave_nml"", ""&shortwave_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=albsnowv"", ""albsnowv"")",0.98,0.98,0.98
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=shortwave_nml"", ""&shortwave_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kalg"", ""kalg"")",0.0,0.0,0.0
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=shortwave_nml"", ""&shortwave_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=r_snw"", ""r_snw"")",0.0,0.0,0.0
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=shortwave_nml"", ""&shortwave_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=sw_redist"", ""sw_redist"")",True,True,True
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=thermo_nml"", ""&thermo_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dsdt_slow_mode"", ""dsdt_slow_mode"")",-5e-08,-5e-08,-5e-08
